#longitude   latitude    City
-73.75	42.67	"Albany, N.Y."
-75.17	39.95	"Philadelphia, Pa."
-77.03	38.88	"Washington, D.C."
-71.18	46.82	"Quebec, Que., Can."
-75.72	45.40	"Ottawa, Ont., Can."
-100.35	44.37	"Pierre, S.D."
-108.55	39.08	"Grand Junction, Colo."
-119.82	39.50	"Reno, Nev."
-115.20	36.17	"Las Vegas, Nev."
-111.68	35.22	"Flagstaff, Ariz."
-96.77	32.77	"Dallas, Tex."
-93.05	34.52	"Hot Springs, Ark."
-82.45	27.95	"Tampa, Fla."
-81.67	30.37	"Jacksonville, Fla."
-86.78	36.17	"Nashville, Tenn."
-94.58	39.10	"Kansas City, Mo."
-122.33	47.62	"Seattle, Wash."
-114.02	51.02	"Calgary, Alba., Can."
-113.47	53.57	"Edmonton, Alb., Can."
-105.52	50.62	"Moose Jaw, Sask., Can."
-100.78	46.80	"Bismarck, N.D."
-86.17	39.77	"Indianapolis, Ind."
-75.97	36.85	"Virginia Beach, Va."
